2024-06-30 14:49:12,345: 't'
2024-06-30 14:49:12,541: 'h'
2024-06-30 14:49:12,833: 'i'
2024-06-30 14:49:13,041: 's'
2024-06-30 14:49:13,263: Key.space
2024-06-30 14:49:13,966: Key.backspace
2024-06-30 14:49:14,183: Key.backspace
2024-06-30 14:49:14,380: Key.backspace
2024-06-30 14:49:14,563: Key.backspace
2024-06-30 14:49:14,993: Key.caps_lock
2024-06-30 14:49:15,815: 'h'
2024-06-30 14:49:16,070: 'i'
2024-06-30 14:49:16,216: 's'
2024-06-30 14:49:16,496: Key.space
2024-06-30 14:49:17,191: 'i'
2024-06-30 14:49:17,384: 's'
2024-06-30 14:49:17,624: Key.space
2024-06-30 14:49:17,803: 'a'
2024-06-30 14:49:18,097: Key.space
2024-06-30 14:49:19,131: 'd'
2024-06-30 14:49:19,323: 'e'
2024-06-30 14:49:19,629: 'm'
2024-06-30 14:49:19,972: 'p'
2024-06-30 14:49:20,561: Key.space
2024-06-30 14:49:21,380: Key.backspace
2024-06-30 14:49:21,551: Key.backspace
2024-06-30 14:49:21,865: 'o'
2024-06-30 14:49:22,171: Key.space
2024-06-30 14:49:23,136: 'o'
2024-06-30 14:49:23,531: 'f'
2024-06-30 14:49:23,748: Key.space
2024-06-30 14:49:24,704: Key.caps_lock
2024-06-30 14:49:25,094: 'k'
2024-06-30 14:49:25,262: Key.caps_lock
2024-06-30 14:49:25,600: 'e'
2024-06-30 14:49:25,852: 'y'
2024-06-30 14:49:27,171: 'l'
2024-06-30 14:49:27,507: 'o'
2024-06-30 14:49:29,375: 'g'
2024-06-30 14:49:29,528: 'g'
2024-06-30 14:49:29,737: 'e'
2024-06-30 14:49:29,950: 'r'
2024-06-30 14:49:32,400: Key.enter
2024-06-30 14:49:37,246: 's'
2024-06-30 14:49:49,034: Key.ctrl_l
2024-06-30 14:49:49,336: '\x13'
2024-06-30 14:49:54,807: Key.caps_lock
2024-06-30 14:49:55,182: 't'
2024-06-30 14:49:55,387: Key.caps_lock
2024-06-30 14:49:55,636: 'a'
2024-06-30 14:49:55,849: 's'
2024-06-30 14:49:56,067: 'k'
2024-06-30 14:49:56,332: Key.space
2024-06-30 14:49:56,686: '4'
2024-06-30 14:49:57,751: Key.enter
